band,n,median_price,p10,p90,median_km,median_baht_per_km,vehicle_class,method,base_fare,rate_per_km,drop_fee,r2
800-1500,147,5000.0,2500.0,14500.0,988.759,4.863174583104359,4W reefer,Own trips,1986.9032777605714,6.935876360132049,102.11194593210398,0.5790316423721822
0-25,13,1950.0,1500.0,1950.0,14.242,136.91897205448672,6W dry,Own trips,2816.089508345625,19.728482926919483,-725.9874499924186,0.9001484052628843
25-50,9,2500.0,2500.0,2500.0,39.932,62.60643093258539,6W dry,Own trips,2816.089508345625,19.728482926919483,-725.9874499924186,0.9001484052628843
50-100,14,5650.0,2385.0,6700.0,80.1055,76.10191564737764,6W dry,Own trips,2816.089508345625,19.728482926919483,-725.9874499924186,0.9001484052628843
100-200,8,7300.0,6000.0,7920.0,126.4905,58.33625014584062,6W dry,Own trips,2816.089508345625,19.728482926919483,-725.9874499924186,0.9001484052628843
400-800,9,15444.0,4160.0,19055.2,722.286,21.382111795050715,6W dry,Own trips,2816.089508345625,19.728482926919483,-725.9874499924186,0.9001484052628843
800-1500,3,38484.0,27568.8,39607.2,942.142,40.44123610998459,6W dry,Own trips,2816.089508345625,19.728482926919483,-725.9874499924186,0.9001484052628843
25-50,1,6500.0,6500.0,6500.0,49.482,131.36089891273593,6W dry trailer,Borrowed – few trips,2683.6537573132655,22.3298141434912,-641.7172217315875,0.4382723436663668
50-100,1,8250.0,8250.0,8250.0,60.775,135.74660633484163,6W dry trailer,Borrowed – few trips,2683.6537573132655,22.3298141434912,-641.7172217315875,0.4382723436663668
400-800,5,900.0,900.0,900.0,536.561,1.6773488941611483,6W dry trailer,Borrowed – few trips,2683.6537573132655,22.3298141434912,-641.7172217315875,0.4382723436663668
800-1500,4,31508.0,25000.0,39654.0,999.4649999999999,31.737765360876384,6W dry trailer,Borrowed – few trips,2683.6537573132655,22.3298141434912,-641.7172217315875,0.4382723436663668
0-25,250,3500.0,2000.0,6000.0,15.146,257.32298323111894,6W reefer,Own trips,3771.3955464510836,17.372954821814044,156.68807386482317,0.49133957829883945
25-50,303,4500.0,3737.0,5903.2,29.985,130.79873269968317,6W reefer,Own trips,3771.3955464510836,17.372954821814044,156.68807386482317,0.49133957829883945
50-100,583,5500.0,4400.0,7000.0,76.652,75.98216287586258,6W reefer,Own trips,3771.3955464510836,17.372954821814044,156.68807386482317,0.49133957829883945
100-200,954,5192.0,4532.0,7260.200000000004,101.818,47.80714537728758,6W reefer,Own trips,3771.3955464510836,17.372954821814044,156.68807386482317,0.49133957829883945
200-400,137,6718.0,4944.0,9735.600000000002,234.072,26.356674304008035,6W reefer,Own trips,3771.3955464510836,17.372954821814044,156.68807386482317,0.49133957829883945
400-800,18,17000.0,6517.6,23050.0,591.1025,30.8282825099955,6W reefer,Own trips,3771.3955464510836,17.372954821814044,156.68807386482317,0.49133957829883945
800-1500,19,25500.0,21420.0,36000.0,915.502,30.938266632048162,6W reefer,Own trips,3771.3955464510836,17.372954821814044,156.68807386482317,0.49133957829883945
