Car Type,Ori,Dest,Total KM,Per km (THB/km),Per-km price,Existing pair price,Existing pair price (min-max),Divergence (THB),Divergence (%),Trips
,TUF,JWD ฉะเชิงเทรา,101.818,53.699356294029,5467.561059145445,4664,"4,664-4,664",803.5610591454451,17.229010702089305,2
,,Jpac สุวินทวงศ์,101.818,53.699356294029,5467.561059145445,4928,"4,928-4,928",539.5610591454451,10.948885128763092,1
,,Nestle ระยอง,178.024,53.699356294029,9559.77420488822,8632,"8,632-8,632",927.7742048882192,10.748079296666116,1
,UKF (สยาม ยูเคเอฟ),JFC THAILAND (บางนา),79.471,53.699356294029,4267.541544042779,6700,"6,700-6,700",-2432.4584559572213,-36.30535008891375,1
,,ปราจีนบุรี,192.179,53.699356294029,10319.8885932302,10000,"10,000-10,000",319.88859323020006,3.1988859323020007,1
,,ไทยเดลมาร์,48.761,53.699356294029,2618.434312253148,5500,"5,500-5,500",-2881.565687746852,-52.39210341357913,1
,ทริปเปิล พี ฟู้ดส์,ทริปเปิ้ลพี (จองคู่10w),147.082,53.699356294029,7898.208722438373,5875,"5,875-5,875",2023.2087224383731,34.43759527554678,1
,ยูนิคอร์ด (สำนักงานใหญ่),Jpac สุวินทวงศ์,101.595,53.699356294029,5455.5861026918765,6500,"6,500-6,500",-1044.4138973081235,-16.06790611243267,1
,สมายมีท,สมายมีท,267.69100000000003,53.699356294029,14374.834385704919,7668,"7,668-7,668",6706.8343857049185,87.46523716360092,4
,สยามไบโอไซเอนซ์,อย.นนทบุรี,26.359,53.699356294029,1415.4613325543105,5500,"4,700-6,700",-4084.5386674456895,-74.26433940810344,5
,,สำนักงานคณะกรรมการอาหารและยา (อย.) ควบคุมอุณหภูมิ),25.992,53.699356294029,1395.7536687944018,7700,"7,700-7,700",-6304.246331205598,-81.87332897669609,1
,ห้องเย็นรักชัย (มหาชัย),M senko,68.557,53.699356294029,3681.4667694497466,6700,"6,400-7,000",-3018.5332305502534,-45.05273478433214,2
,,KONOIKE (โคโนอิเกะ),60.683,53.699356294029,3258.6380379905618,5600,"5,600-5,600",-2341.3619620094382,-41.81003503588283,1
,แพ็คฟู้ด,Havi (Bangna),65.392,53.699356294029,3511.5083067791443,5936,"5,936-5,936",-2424.4916932208557,-40.84386275641603,1
,โชคสมุทรมารีน,JPK (เจพีเค โคลด์ สโตเรจ),71.182,53.699356294029,3822.4275797215723,6500,"6,500-6,500",-2677.5724202784277,-41.19342185043735,1
,ไทยอกริฟู้ด,DC Makro Mahachai (แมคโครมหาชัย),82.8485,53.699356294029,4448.911119925861,6217.5,"5,995-6,440",-1768.5888800741386,-28.445337837943523,2
